iter	Passed	Remaining
419	2619	4864
420	2624	4857
421	2630	4849
422	2635	4841
423	2642	4836
424	2650	4833
425	2666	4844
426	2675	4843
427	2684	4841
428	2693	4841
429	2705	4844
430	2720	4853
431	2735	4863
432	2750	4872
433	2764	4880
434	2777	4884
435	2790	4889
436	2812	4911
437	2825	4914
438	2837	4918
439	2847	4918
440	2856	4915
441	2866	4916
442	2885	4931
443	2897	4934
444	2910	4938
445	2926	4946
446	2939	4951
447	2952	4955
448	2966	4961
449	2972	4953
450	2984	4956
451	2992	4951
452	2998	4943
453	3005	4938
454	3010	4929
455	3019	4926
456	3025	4918
457	3032	4912
458	3037	4903
459	3044	4897
460	3050	4889
461	3057	4884
462	3062	4874
463	3068	4866
464	3073	4857
465	3079	4849
466	3085	4842
467	3093	4838
468	3101	4834
469	3109	4829
470	3115	4821
471	3123	4817
472	3129	4809
473	3136	4803
474	3142	4796
475	3148	4788
476	3155	4782
477	3162	4776
478	3167	4768
479	3173	4760
480	3179	4753
481	3185	4744
482	3192	4738
483	3197	4730
484	3205	4725
485	3211	4717
486	3219	4713
487	3224	4704
488	3231	4698
489	3236	4690
490	3242	4681
491	3247	4672
492	3252	4664
493	3257	4656
494	3262	4646
495	3268	4638
496	3273	4630
497	3279	4622
498	3287	4617
499	3296	4614
500	3306	4612
501	3317	4613
502	3327	4610
503	3337	4608
504	3348	4607
505	3365	4616
506	3378	4618
507	3392	4621
508	3406	4625
509	3417	4623
510	3423	4616
511	3430	4609
512	3438	4605
513	3445	4599
514	3451	4591
515	3457	4583
516	3463	4575
517	3468	4567
518	3475	4560
519	3480	4551
520	3485	4543
521	3491	4535
522	3497	4526
523	3503	4519
524	3508	4510
525	3521	4512
526	3528	4505
527	3536	4500
528	3547	4500
529	3554	4492
530	3559	4484
531	3565	4476
532	3571	4469
533	3577	4461
534	3582	4453
535	3588	4444
536	3593	4436
537	3599	4429
538	3604	4420
539	3611	4414
540	3617	4406
541	3622	4397
542	3627	4389
543	3633	4381
544	3639	4373
545	3644	4365
546	3650	4357
547	3655	4349
548	3660	4340
549	3665	4331
550	3670	4323
551	3675	4315
552	3681	4307
553	3686	4298
554	3691	4290
555	3696	4282
556	3702	4273
557	3707	4265
558	3711	4256
559	3717	4248
560	3722	4239
561	3727	4231
562	3734	4225
563	3740	4217
564	3747	4212
565	3753	4204
566	3758	4196
567	3763	4187
568	3769	4180
569	3774	4172
570	3780	4163
571	3785	4156
572	3791	4148
573	3799	4144
574	3812	4144
575	3820	4138
576	3830	4136
577	3843	4135
578	3853	4132
579	3860	4126
580	3866	4119
581	3873	4113
582	3884	4110
583	3892	4105
584	3901	4101
585	3906	4093
586	3912	4085
587	3919	4079
588	3926	4073
589	3938	4071
590	3947	4067
591	3954	4061
592	3961	4054
593	3966	4046
594	3972	4039
595	3977	4031
596	3983	4023
597	3988	4015
598	3995	4008
599	4002	4002
600	4008	3995
601	4015	3989
602	4022	3982
603	4030	3977
604	4037	3971
605	4043	3963
606	4048	3955
607	4053	3946
608	4058	3938
609	4064	3931
610	4069	3923
611	4075	3915
612	4080	3907
613	4085	3899
614	4091	3891
615	4096	3883
616	4102	3876
617	4108	3869
618	4114	3861
619	4119	3853
620	4125	3846
621	4131	3838
622	4136	3830
623	4142	3823
624	4148	3816
625	4154	3809
626	4160	3802
627	4165	3794
628	4171	3786
629	4177	3779
630	4182	3771
631	4188	3764
632	4195	3757
633	4201	3751
634	4208	3744
635	4214	3737
636	4220	3730
637	4227	3723
638	4232	3715
639	4237	3708
640	4244	3701
641	4249	3693
642	4255	3686
643	4260	3678
644	4265	3670
645	4270	3662
646	4276	3654
647	4283	3649
648	4293	3645
649	4300	3639
650	4309	3634
651	4328	3637
652	4336	3632
653	4344	3626
654	4352	3621
655	4361	3616
656	4371	3612
657	4383	3610
658	4391	3605
659	4404	3603
660	4422	3605
661	4432	3601
662	4442	3597
663	4451	3593
664	4462	3590
665	4469	3583
666	4476	3577
667	4482	3569
668	4489	3563
669	4497	3557
670	4504	3551
671	4510	3544
672	4516	3536
673	4522	3529
674	4530	3523
675	4537	3517
676	4544	3510
677	4550	3503
678	4556	3496
679	4562	3489
680	4569	3482
681	4575	3475
682	4581	3467
683	4592	3464
684	4597	3456
685	4603	3449
686	4608	3441
687	4613	3433
688	4619	3425
689	4624	3418
690	4629	3410
691	4634	3402
692	4641	3395
693	4646	3387
694	4651	3379
695	4657	3372
696	4662	3364
697	4668	3357
698	4674	3350
699	4680	3343
700	4686	3336
701	4691	3328
702	4696	3320
703	4701	3312
704	4708	3305
705	4714	3298
706	4720	3291
707	4725	3283
708	4731	3276
709	4736	3269
710	4742	3261
711	4747	3254
712	4753	3246
713	4759	3239
714	4764	3232
715	4770	3224
716	4776	3217
717	4783	3211
718	4788	3203
719	4795	3197
720	4801	3189
721	4806	3182
722	4812	3174
723	4817	3167
724	4822	3159
725	4827	3151
726	4832	3144
727	4837	3136
728	4842	3128
729	4849	3122
730	4854	3114
731	4859	3106
732	4864	3099
733	4869	3091
734	4874	3084
735	4880	3076
736	4885	3069
737	4890	3061
738	4896	3054
739	4901	3046
740	4907	3039
741	4913	3032
742	4918	3025
743	4924	3018
744	4929	3010
745	4935	3003
746	4940	2996
747	4945	2988
748	4950	2980
749	4955	2973
750	4960	2965
751	4966	2958
752	4971	2951
753	4977	2944
754	4982	2936
755	4988	2929
756	4993	2922
757	4999	2915
758	5004	2907
759	5010	2900
760	5016	2893
761	5022	2886
762	5027	2879
763	5032	2872
764	5038	2864
765	5044	2857
766	5049	2850
767	5056	2844
768	5061	2837
769	5066	2829
770	5071	2822
771	5077	2814
772	5082	2807
773	5087	2800
774	5093	2793
775	5099	2786
776	5103	2778
777	5109	2771
778	5114	2763
779	5119	2756
780	5124	2749
781	5130	2742
782	5135	2735
783	5141	2727
784	5145	2720
785	5151	2713
786	5158	2707
787	5164	2700
788	5170	2693
789	5178	2687
790	5194	2686
791	5202	2679
792	5209	2673
793	5227	2672
794	5246	2672
795	5261	2670
796	5270	2664
797	5284	2662
798	5293	2656
799	5304	2652
800	5311	2646
801	5322	2641
802	5331	2635
803	5337	2629
804	5344	2622
805	5350	2615
806	5358	2609
807	5364	2602
808	5373	2596
809	5383	2592
810	5394	2587
811	5404	2582
812	5417	2578
813	5426	2573
814	5437	2568
815	5448	2563
816	5457	2558
817	5472	2555
818	5486	2552
819	5497	2547
820	5513	2545
821	5529	2542
822	5550	2542
823	5568	2540
824	5579	2536
825	5589	2530
826	5599	2525
827	5610	2520
828	5619	2514
829	5628	2509
830	5638	2503
831	5649	2498
832	5657	2492
833	5665	2486
834	5671	2479
835	5678	2472
836	5684	2465
837	5689	2457
838	5696	2450
839	5701	2443
840	5706	2436
841	5712	2428
842	5718	2421
843	5723	2414
844	5730	2407
845	5735	2400
846	5741	2392
847	5747	2385
848	5753	2378
849	5758	2371
850	5764	2363
851	5770	2356
852	5776	2349
853	5782	2342
854	5787	2335
855	5793	2328
856	5799	2321
857	5804	2313
858	5810	2306
859	5815	2299
860	5820	2291
861	5826	2284
862	5831	2277
863	5837	2270
864	5844	2263
865	5851	2256
866	5858	2250
867	5865	2243
868	5872	2236
869	5878	2229
870	5884	2222
871	5891	2216
872	5898	2209
873	5903	2202
874	5909	2194
875	5914	2187
876	5920	2180
877	5926	2173
878	5931	2166
879	5936	2158
880	5942	2151
881	5947	2144
882	5952	2136
883	5957	2129
884	5962	2122
885	5968	2115
886	5974	2108
887	5981	2101
888	5988	2094
889	5996	2088
890	6008	2083
891	6017	2077
892	6023	2070
893	6031	2064
894	6037	2057
895	6043	2050
896	6051	2044
897	6056	2036
898	6061	2029
899	6066	2022
900	6072	2015
901	6077	2007
902	6081	2000
903	6086	1993
904	6091	1985
905	6097	1978
906	6102	1971
907	6107	1964
908	6112	1956
909	6117	1949
910	6122	1942
911	6128	1935
912	6135	1928
913	6139	1921
914	6144	1913
915	6150	1906
916	6155	1899
917	6162	1893
918	6169	1886
919	6175	1879
920	6181	1872
921	6186	1865
922	6191	1858
923	6197	1851
924	6206	1845
925	6212	1838
926	6217	1830
927	6221	1823
928	6227	1816
929	6232	1809
930	6239	1802
931	6244	1795
932	6250	1788
933	6255	1781
934	6261	1774
935	6266	1767
936	6271	1760
937	6276	1753
938	6282	1746
939	6289	1739
940	6296	1732
941	6309	1728
942	6320	1722
943	6329	1716
944	6335	1709
945	6342	1702
946	6347	1695
947	6353	1688
948	6359	1682
949	6365	1675
950	6370	1668
951	6376	1661
952	6381	1653
953	6386	1646
954	6393	1640
955	6399	1633
956	6405	1626
957	6411	1619
958	6418	1612
959	6424	1606
960	6430	1599
961	6436	1592
962	6442	1585
963	6447	1578
964	6452	1571
965	6457	1564
966	6465	1557
967	6471	1551
968	6477	1544
969	6483	1537
970	6488	1530
971	6495	1523
972	6499	1516
973	6505	1509
974	6511	1502
975	6516	1495
976	6521	1488
977	6526	1481
978	6532	1474
979	6538	1467
980	6543	1460
981	6549	1453
982	6555	1447
983	6560	1440
984	6566	1433
985	6571	1426
986	6576	1419
987	6582	1412
988	6588	1405
989	6594	1398
990	6599	1391
991	6605	1384
992	6610	1377
993	6615	1371
994	6622	1364
995	6628	1357
996	6634	1350
997	6640	1343
998	6646	1337
999	6652	1330
1000	6659	1323
1001	6665	1317
1002	6671	1310
1003	6677	1303
1004	6685	1297
1005	6690	1290
1006	6696	1283
1007	6701	1276
1008	6707	1269
1009	6712	1262
1010	6718	1255
1011	6723	1249
1012	6728	1242
1013	6735	1235
1014	6740	1228
1015	6746	1221
1016	6751	1214
1017	6756	1208
1018	6762	1201
1019	6767	1194
1020	6774	1187
1021	6779	1180
1022	6784	1173
1023	6789	1166
1024	6795	1160
1025	6800	1153
1026	6806	1146
1027	6813	1139
1028	6819	1133
1029	6824	1126
1030	6829	1119
1031	6835	1112
1032	6841	1106
1033	6847	1099
1034	6853	1092
1035	6858	1085
1036	6864	1078
1037	6869	1072
1038	6875	1065
1039	6881	1058
1040	6887	1051
1041	6893	1045
1042	6898	1038
1043	6903	1031
1044	6908	1024
1045	6914	1018
1046	6920	1011
1047	6926	1004
1048	6932	997
1049	6937	991
1050	6942	984
1051	6947	977
1052	6953	970
1053	6961	964
1054	6968	957
1055	6973	950
1056	6979	944
1057	6984	937
1058	6990	930
1059	6996	924
1060	7003	917
1061	7008	910
1062	7014	904
1063	7019	897
1064	7024	890
1065	7033	884
1066	7040	877
1067	7046	870
1068	7052	864
1069	7058	857
1070	7064	850
1071	7069	844
1072	7075	837
1073	7081	830
1074	7086	824
1075	7092	817
1076	7097	810
1077	7102	803
1078	7109	797
1079	7115	790
1080	7121	783
1081	7126	777
1082	7132	770
1083	7137	763
1084	7142	757
1085	7149	750
1086	7154	743
1087	7162	737
1088	7169	730
1089	7177	724
1090	7183	717
1091	7194	711
1092	7201	704
1093	7206	698
1094	7211	691
1095	7218	684
1096	7225	678
1097	7232	671
1098	7238	665
1099	7243	658
1100	7248	651
1101	7255	645
1102	7261	638
1103	7266	631
1104	7272	625
1105	7277	618
1106	7282	611
1107	7288	605
1108	7293	598
1109	7299	591
1110	7304	585
1111	7312	578
1112	7318	572
1113	7324	565
1114	7329	558
1115	7335	552
1116	7340	545
1117	7346	538
1118	7353	532
1119	7359	525
1120	7364	519
1121	7369	512
1122	7375	505
1123	7381	499
1124	7388	492
1125	7394	485
1126	7404	479
1127	7413	473
1128	7419	466
1129	7425	459
1130	7430	453
1131	7436	446
1132	7442	440
1133	7447	433
1134	7452	426
1135	7457	420
1136	7463	413
1137	7468	406
1138	7473	400
1139	7479	393
1140	7485	387
1141	7491	380
1142	7496	373
1143	7502	367
1144	7507	360
1145	7513	354
1146	7519	347
1147	7524	340
1148	7530	334
1149	7535	327
1150	7540	321
1151	7547	314
1152	7552	307
1153	7558	301
1154	7564	294
1155	7569	288
1156	7574	281
1157	7579	274
1158	7585	268
1159	7590	261
1160	7596	255
1161	7602	248
1162	7608	242
1163	7613	235
1164	7618	228
1165	7623	222
1166	7629	215
1167	7635	209
1168	7640	202
1169	7646	196
1170	7651	189
1171	7656	182
1172	7662	176
1173	7667	169
1174	7672	163
1175	7678	156
1176	7683	150
1177	7689	143
1178	7694	137
1179	7700	130
1180	7705	123
1181	7711	117
1182	7716	110
1183	7722	104
1184	7728	97
1185	7734	91
1186	7740	84
1187	7745	78
1188	7750	71
1189	7756	65
1190	7762	58
1191	7768	52
1192	7773	45
1193	7779	39
1194	7784	32
1195	7789	26
1196	7796	19
1197	7801	13
1198	7807	6
1199	7813	0
